image,emotion
facial-expressions_2868585k.jpg,surprise
facial-expressions_2868584k.jpg,disgust
facial-expressions_2868582k.jpg,fear
Aaron_Eckhart_0001.jpg,neutral
Aaron_Guiel_0001.jpg,happiness
Aaron_Patterson_0001.jpg,neutral
Aaron_Peirsol_0001.jpg,happiness
Aaron_Peirsol_0002.jpg,happiness
Aaron_Peirsol_0003.jpg,happiness
Aaron_Peirsol_0004.jpg,neutral
Aaron_Pena_0001.jpg,neutral
Aaron_Sorkin_0001.jpg,happiness
Aaron_Sorkin_0002.jpg,happiness
Aaron_Tippin_0001.jpg,neutral
Abbas_Kiarostami_0001.jpg,neutral
Abba_Eban_0001.jpg,happiness
Abdel_Aziz_Al-Hakim_0001.jpg,neutral
Abdel_Madi_Shabneh_0001.jpg,neutral
Abdel_Nasser_Assidi_0001.jpg,neutral
Abdel_Nasser_Assidi_0002.jpg,neutral
Abdoulaye_Wade_0001.jpg,neutral
Abdoulaye_Wade_0002.jpg,happiness
Abdoulaye_Wade_0003.jpg,neutral
Abdoulaye_Wade_0004.jpg,happiness
Abdulaziz_Kamilov_0001.jpg,neutral
Abdullah_0001.jpg,neutral
Abdullah_0002.jpg,neutral
Abdullah_0003.jpg,neutral
Abdullah_0004.jpg,neutral
Abdullah_Ahmad_Badawi_0001.jpg,happiness
Abdullah_al-Attiyah_0003.jpg,neutral
Abdullah_Gul_0001.jpg,neutral
Abdullah_Gul_0002.jpg,happiness
Abdullah_Gul_0003.jpg,happiness
Abdullah_Gul_0004.jpg,happiness
Abdullah_Gul_0005.jpg,happiness
Abdullah_Gul_0006.jpg,neutral
Abdullah_Gul_0007.jpg,neutral
Abdullah_Gul_0008.jpg,neutral
Abdullah_Gul_0009.jpg,neutral
Abdullah_Gul_0010.jpg,neutral
Abdullah_Gul_0011.jpg,neutral
Abdullah_Gul_0012.jpg,happiness
Abdullah_Gul_0013.jpg,neutral
Abdullah_Gul_0014.jpg,neutral
Abdullah_Gul_0016.jpg,neutral
Abdullah_Gul_0017.jpg,neutral
Abdullah_Gul_0018.jpg,neutral
Abdullah_Gul_0019.jpg,neutral
Abdullah_Nasseef_0001.jpg,surprise
Abdullatif_Sener_0001.jpg,neutral
Abdullatif_Sener_0002.jpg,neutral
Abdul_Rahman_0001.jpg,neutral
Abel_Aguilar_0001.jpg,neutral
Abel_Pacheco_0001.jpg,neutral
Abel_Pacheco_0002.jpg,neutral
Abel_Pacheco_0003.jpg,neutral
Abel_Pacheco_0004.jpg,neutral
Abid_Hamid_Mahmud_Al-Tikriti_0001.jpg,happiness
Abid_Hamid_Mahmud_Al-Tikriti_0003.jpg,neutral
Abner_Martinez_0001.jpg,happiness
Abraham_Foxman_0001.jpg,neutral
Aby_Har-Even_0001.jpg,neutral
Adam_Ant_0001.jpg,neutral
Adam_Freier_0001.jpg,neutral
Adam_Herbert_0001.jpg,neutral
Adam_Kennedy_0001.jpg,neutral
Adam_Mair_0001.jpg,surprise
Adam_Rich_0001.jpg,neutral
Adam_Sandler_0001.jpg,neutral
Adam_Sandler_0002.jpg,neutral
Adam_Sandler_0003.jpg,neutral
Adam_Sandler_0004.jpg,happiness
Adam_Scott_0001.jpg,neutral
Adam_Scott_0002.jpg,neutral
Adelina_Avila_0001.jpg,neutral
Adel_Al-Jubeir_0001.jpg,neutral
Adel_Al-Jubeir_0002.jpg,neutral
Adel_Al-Jubeir_0003.jpg,neutral
Adisai_Bodharamik_0001.jpg,neutral
Adolfo_Aguilar_Zinser_0001.jpg,neutral
Adolfo_Aguilar_Zinser_0002.jpg,neutral
Adolfo_Aguilar_Zinser_0003.jpg,neutral
Adolfo_Rodriguez_Saa_0001.jpg,happiness
Adolfo_Rodriguez_Saa_0002.jpg,happiness
Adoor_Gopalakarishnan_0001.jpg,neutral
Adriana_Lima_0001.jpg,neutral
Adriana_Perez_Navarro_0001.jpg,happiness
Adrianna_Zuzic_0001.jpg,neutral
Adrian_Annus_0001.jpg,neutral
Adrian_Fernandez_0001.jpg,neutral
Adrian_McPherson_0001.jpg,neutral
Adrian_McPherson_0002.jpg,neutral
Adrian_Murrell_0001.jpg,neutral
Adrian_Nastase_0001.jpg,neutral
Adrian_Nastase_0002.jpg,neutral
Adrien_Brody_0001.jpg,happiness
Adrien_Brody_0002.jpg,neutral
Adrien_Brody_0003.jpg,happiness
Adrien_Brody_0004.jpg,happiness
Adrien_Brody_0005.jpg,neutral
Adrien_Brody_0006.jpg,happiness
Adrien_Brody_0007.jpg,happiness
Adrien_Brody_0008.jpg,neutral
Adrien_Brody_0009.jpg,happiness
Adrien_Brody_0010.jpg,happiness
Adrien_Brody_0011.jpg,happiness
Adrien_Brody_0012.jpg,neutral
Afton_Smith_0001.jpg,happiness
Agbani_Darego_0001.jpg,neutral
Agnelo_Queiroz_0001.jpg,neutral
Agnes_Bruckner_0001.jpg,neutral
Ahmad_Jbarah_0001.jpg,neutral
Ahmad_Masood_0001.jpg,neutral
Ahmad_Masood_0002.jpg,neutral
Ahmed_Ahmed_0001.jpg,happiness
Ahmed_Chalabi_0001.jpg,neutral
Ahmed_Chalabi_0002.jpg,neutral
Ahmed_Chalabi_0003.jpg,neutral
Ahmed_Chalabi_0004.jpg,happiness
Ahmed_Chalabi_0005.jpg,neutral
Ahmed_Ghazi_0001.jpg,neutral
Ahmed_Ibrahim_Bilal_0001.jpg,neutral
Ahmed_Lopez_0001.jpg,neutral
Ahmed_Qureia_0001.jpg,happiness
Ahmet_Demir_0001.jpg,neutral
Ahmet_Necdet_Sezer_0001.jpg,neutral
Ahmet_Necdet_Sezer_0002.jpg,neutral
Aicha_El_Ouafi_0001.jpg,neutral
Aicha_El_Ouafi_0002.jpg,neutral
Aicha_El_Ouafi_0003.jpg,neutral
Aidan_Quinn_0001.jpg,neutral
Aileen_Riggin_Soule_0001.jpg,happiness
Ainsworth_Dyer_0001.jpg,neutral
Ain_Seppik_0001.jpg,neutral
Aishwarya_Rai_0001.jpg,happiness
Aitor_Gonzalez_0001.jpg,happiness
Aitor_Gonzalez_0002.jpg,happiness
Aiysha_Smith_0001.jpg,neutral
Ai_Sugiyama_0001.jpg,happiness
Ai_Sugiyama_0002.jpg,happiness
Ai_Sugiyama_0003.jpg,happiness
Ai_Sugiyama_0004.jpg,happiness
Ai_Sugiyama_0005.jpg,happiness
Ajit_Agarkar_0001.jpg,happiness
AJ_Cook_0001.jpg,happiness
AJ_Lamas_0001.jpg,happiness
Akbar_Al_Baker_0001.jpg,happiness
Akbar_Hashemi_Rafsanjani_0001.jpg,neutral
Akbar_Hashemi_Rafsanjani_0002.jpg,neutral
Akbar_Hashemi_Rafsanjani_0003.jpg,neutral
Akhmed_Zakayev_0001.jpg,neutral
Akhmed_Zakayev_0002.jpg,neutral
Akhmed_Zakayev_0003.jpg,neutral
Akiko_Morigami_0001.jpg,neutral
Akmal_Taher_0001.jpg,happiness
Alain_Cervantes_0001.jpg,sadness
Alain_Ducasse_0001.jpg,happiness
Alanis_Morissette_0001.jpg,happiness
Alanna_Ubach_0001.jpg,happiness
Alan_Ball_0001.jpg,happiness
Alan_Ball_0002.jpg,happiness
Alan_Dershowitz_0001.jpg,neutral
Alan_Dreher_0001.jpg,neutral
Alan_Greenspan_0002.jpg,happiness
Alan_Greenspan_0003.jpg,surprise
Alan_Greenspan_0004.jpg,neutral
Alan_Greenspan_0005.jpg,neutral
Alan_Greer_0001.jpg,neutral
Alan_Jackson_0001.jpg,happiness
Alan_Mulally_0001.jpg,neutral
Alan_Mulally_0002.jpg,happiness
Alan_Stonecipher_0001.jpg,neutral
Alan_Tang_Kwong-wing_0001.jpg,neutral
Alan_Trammell_0001.jpg,happiness
Alan_Zemaitis_0001.jpg,neutral
Alastair_Campbell_0001.jpg,neutral
Alastair_Campbell_0002.jpg,neutral
Alastair_Campbell_0003.jpg,neutral
Alastair_Campbell_0004.jpg,neutral
Alastair_Campbell_0005.jpg,neutral
Alastair_Johnston_0001.jpg,happiness
Albaro_Recoba_0001.jpg,neutral
Alberta_Lee_0001.jpg,happiness
Alberto_Acosta_0001.jpg,neutral
Alberto_Fujimori_0001.jpg,happiness
Alberto_Fujimori_0002.jpg,neutral
Alberto_Gonzales_0001.jpg,neutral
Alberto_Ruiz_Gallardon_0001.jpg,neutral
Alberto_Ruiz_Gallardon_0002.jpg,happiness
Alberto_Sordi_0001.jpg,happiness
Albert_Brooks_0001.jpg,happiness
Albert_Costa_0001.jpg,neutral
Albert_Costa_0002.jpg,neutral
Albert_Costa_0003.jpg,neutral
Albert_Costa_0004.jpg,neutral
Albert_Costa_0005.jpg,neutral
Albert_Costa_0006.jpg,neutral
Albert_Montanes_0001.jpg,neutral
Albert_Pujols_0001.jpg,happiness
Albrecht_Mentz_0001.jpg,neutral
Albrecht_Mentz_0002.jpg,neutral
Aldo_Paredes_0001.jpg,happiness
Aldo_Paredes_0002.jpg,happiness
Alecos_Markides_0001.jpg,neutral
Alec_Baldwin_0001.jpg,happiness
Alec_Baldwin_0002.jpg,happiness
Alec_Baldwin_0003.jpg,neutral
Alec_Baldwin_0004.jpg,neutral
Alejandro_Atchugarry_0001.jpg,neutral
Alejandro_Atchugarry_0002.jpg,neutral
Alejandro_Avila_0001.jpg,neutral
Alejandro_Avila_0002.jpg,neutral
Alejandro_Avila_0003.jpg,neutral
Alejandro_Fernandez_0001.jpg,happiness
Alejandro_Gonzalez_Inarritu_0001.jpg,happiness
Alejandro_Lembo_0001.jpg,happiness
Alejandro_Lerner_0001.jpg,neutral
Alejandro_Lopez_0001.jpg,happiness
Alejandro_Toledo_0001.jpg,neutral
Alejandro_Toledo_0002.jpg,neutral
Alejandro_Toledo_0003.jpg,neutral
Alejandro_Toledo_0004.jpg,anger
Alejandro_Toledo_0005.jpg,neutral
Alejandro_Toledo_0006.jpg,neutral
Alejandro_Toledo_0007.jpg,happiness
Alejandro_Toledo_0008.jpg,neutral
Alejandro_Toledo_0009.jpg,happiness
Alejandro_Toledo_0010.jpg,neutral
Alejandro_Toledo_0011.jpg,neutral
Alejandro_Toledo_0012.jpg,happiness
Alejandro_Toledo_0013.jpg,happiness
Alejandro_Toledo_0014.jpg,neutral
Alejandro_Toledo_0015.jpg,happiness
Alejandro_Toledo_0016.jpg,neutral
Alejandro_Toledo_0017.jpg,happiness
Alejandro_Toledo_0018.jpg,happiness
Alejandro_Toledo_0019.jpg,neutral
Alejandro_Toledo_0020.jpg,neutral
Alejandro_Toledo_0021.jpg,happiness
Alejandro_Toledo_0022.jpg,neutral
Alejandro_Toledo_0023.jpg,neutral
Alejandro_Toledo_0024.jpg,happiness
Alejandro_Toledo_0025.jpg,neutral
Alejandro_Toledo_0026.jpg,happiness
Alejandro_Toledo_0027.jpg,happiness
Alejandro_Toledo_0028.jpg,neutral
Alejandro_Toledo_0029.jpg,neutral
Alejandro_Toledo_0030.jpg,neutral
Alejandro_Toledo_0031.jpg,happiness
Alejandro_Toledo_0032.jpg,happiness
Alejandro_Toledo_0033.jpg,neutral
Alejandro_Toledo_0035.jpg,happiness
Alejandro_Toledo_0036.jpg,neutral
Alejandro_Toledo_0037.jpg,neutral
Alejandro_Toledo_0038.jpg,neutral
Aleksander_Kwasniewski_0001.jpg,happiness
Aleksander_Kwasniewski_0002.jpg,happiness
Aleksander_Kwasniewski_0003.jpg,neutral
Aleksander_Kwasniewski_0004.jpg,neutral
Aleksander_Voloshin_0001.jpg,happiness
Alek_Wek_0001.jpg,happiness
Alessandra_Cerna_0001.jpg,sadness
Alessandro_Nesta_0001.jpg,happiness
Alexander_Downer_0001.jpg,happiness
Alexander_Downer_0002.jpg,neutral
Alexander_Downer_0003.jpg,happiness
Alexander_Downer_0004.jpg,happiness
Alexander_Losyukov_0001.jpg,neutral
Alexander_Losyukov_0002.jpg,neutral
Alexander_Losyukov_0003.jpg,sadness
Alexander_Losyukov_0004.jpg,neutral
Alexander_Lukashenko_0001.jpg,anger
Alexander_Payne_0001.jpg,neutral
Alexander_Rumyantsev_0001.jpg,neutral
Alexander_Rumyantsev_0002.jpg,neutral
Alexandra_Jackson_0001.jpg,neutral
Alexandra_Pelosi_0001.jpg,happiness
Alexandra_Rozovskaya_0001.jpg,neutral
Alexandra_Spann_0001.jpg,happiness
Alexandra_Stevenson_0001.jpg,happiness
Alexandra_Stevenson_0002.jpg,neutral
Alexandra_Stevenson_0003.jpg,happiness
Alexandra_Vodjanikova_0001.jpg,neutral
Alexandra_Vodjanikova_0002.jpg,happiness
Alexandre_Daigle_0001.jpg,happiness
Alexandre_Despatie_0001.jpg,happiness
Alexandre_Vinokourov_0001.jpg,neutral
Alexa_Loren_0001.jpg,neutral
Alexa_Vega_0001.jpg,neutral
Alexis_Bledel_0001.jpg,happiness
Alexis_Dennisoff_0001.jpg,happiness
Alex_Barros_0001.jpg,happiness
Alex_Barros_0002.jpg,happiness
Alex_Cabrera_0001.jpg,neutral
Alex_Cejka_0001.jpg,happiness
Alex_Corretja_0001.jpg,neutral
Alex_Ferguson_0001.jpg,happiness
Alex_Gonzalez_0001.jpg,neutral
Alex_Holmes_0001.jpg,happiness
Alex_King_0001.jpg,neutral
Alex_Penelas_0001.jpg,neutral
Alex_Penelas_0002.jpg,neutral
Alex_Popov_0001.jpg,neutral
Alex_Sink_0001.jpg,happiness
Alex_Sink_0002.jpg,happiness
Alex_Sink_0003.jpg,neutral
Alex_Wallau_0001.jpg,happiness
Alex_Zanardi_0001.jpg,happiness
Alfonso_Cuaron_0001.jpg,neutral
Alfonso_Portillo_0001.jpg,neutral
Alfonso_Soriano_0001.jpg,happiness
Alfredo_di_Stefano_0001.jpg,neutral
Alfredo_Moreno_0001.jpg,happiness
Alfredo_Pena_0001.jpg,neutral
Alfred_Ford_0001.jpg,neutral
Alfred_Sant_0001.jpg,neutral
Alice_Fisher_0001.jpg,neutral
Alice_Fisher_0002.jpg,neutral
Alicia_Hollowell_0001.jpg,anger
Alicia_Keys_0001.jpg,happiness
Alicia_Molik_0001.jpg,neutral
Alicia_Silverstone_0001.jpg,happiness
Alicia_Silverstone_0002.jpg,happiness
Alicia_Witt_0001.jpg,happiness
Alimzhan_Tokhtakhounov_0001.jpg,neutral
Alimzhan_Tokhtakhounov_0002.jpg,neutral
Alina_Kabaeva_0001.jpg,happiness
Aline_Chretien_0001.jpg,happiness
Alisha_Richman_0001.jpg,neutral
Alison_Krauss_0001.jpg,happiness
Alison_Lohman_0001.jpg,happiness
Alison_Lohman_0002.jpg,neutral
Alistair_MacDonald_0001.jpg,happiness
Ali_Abbas_0002.jpg,neutral
Ali_Abdullah_Saleh_0001.jpg,neutral
Ali_Adbul_Karim_Madani_0001.jpg,happiness
Ali_Ahmeti_0001.jpg,neutral
Ali_Bin_Hussein_0001.jpg,neutral
Ali_Fallahian_0001.jpg,neutral
Ali_Hammoud_0001.jpg,happiness
Ali_Khamenei_0001.jpg,happiness
Ali_Khamenei_0002.jpg,happiness
Ali_Khamenei_0003.jpg,happiness
Ali_Mohammed_Maher_0001.jpg,neutral
Ali_Naimi_0001.jpg,neutral
Ali_Naimi_0002.jpg,neutral
Ali_Naimi_0003.jpg,neutral
Ali_Naimi_0004.jpg,neutral
Ali_Naimi_0005.jpg,neutral
Ali_Naimi_0006.jpg,neutral
Ali_Naimi_0007.jpg,neutral
Allan_Kemakeza_0001.jpg,happiness
Allan_Wagner_0001.jpg,neutral
Allen_Iverson_0001.jpg,surprise
Allen_Iverson_0002.jpg,neutral
Allen_Rock_0001.jpg,neutral
Allison_Janney_0001.jpg,surprise
Allison_Janney_0002.jpg,happiness
Allison_Searing_0001.jpg,neutral
Allyson_Felix_0001.jpg,neutral
Allyson_Felix_0002.jpg,neutral
Allyson_Felix_0003.jpg,happiness
Allyson_Felix_0004.jpg,neutral
Allyson_Felix_0005.jpg,neutral
Ally_Sheedy_0001.jpg,happiness
Almeida_Baptista_0001.jpg,neutral
Alonzo_Mourning_0001.jpg,neutral
Alvaro_Noboa_0001.jpg,happiness
Alvaro_Noboa_0002.jpg,anger
Alvaro_Noboa_0003.jpg,happiness
Alvaro_Silva_Calderon_0001.jpg,surprise
Alvaro_Silva_Calderon_0002.jpg,happiness
Alvaro_Silva_Calderon_0003.jpg,neutral
Alvaro_Silva_Calderon_0004.jpg,neutral
Alvaro_Uribe_0001.jpg,surprise
Alvaro_Uribe_0002.jpg,neutral
Alvaro_Uribe_0003.jpg,neutral
Alvaro_Uribe_0004.jpg,neutral
Alvaro_Uribe_0005.jpg,happiness
Alvaro_Uribe_0006.jpg,neutral
Alvaro_Uribe_0007.jpg,neutral
